from,to,from_state,to_state,pass,lcv,type,carrier,tab,carrier_type,transit,from_loc,to_loc
"ADELAIDE, SA","ALICE SPRINGS, NT",SA,NT,949.9999999999999,1187.4999999999998,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,ALICE SPRINGS
"ADELAIDE, SA","BRISBANE, QLD",SA,QLD,1029.0,1286.25,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,BRISBANE
"ADELAIDE, SA","CAIRNS, QLD",SA,QLD,1855.9999999999995,2319.9999999999995,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,CAIRNS
"ADELAIDE, SA","DARWIN, NT",SA,NT,1060.8,1644.24,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,DARWIN
"ADELAIDE, SA","DEVONPORT, TAS",SA,TAS,728.8,911.0,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,DEVONPORT
"ADELAIDE, SA","HOBART, TAS",SA,TAS,1125.9999999999998,1407.4999999999998,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,HOBART
"ADELAIDE, SA","MELBOURNE, VIC",SA,VIC,218.39999999999995,272.99999999999994,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,MELBOURNE
"ADELAIDE, SA","MT ISA, QLD",SA,QLD,2320.9999999999995,2901.2499999999995,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,MT ISA
"ADELAIDE, SA","PERTH, WA",SA,WA,837.9999999999998,1047.4999999999998,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,PERTH
"ADELAIDE, SA","SYDNEY, NSW",SA,NSW,680.0,850.0,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,SYDNEY
"ADELAIDE, SA","TOWNSVILLE, QLD",SA,QLD,1501.9999999999998,1877.4999999999998,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,TOWNSVILLE
"ADELAIDE, SA","WOLLONGONG, NSW",SA,NSW,619.9999999999999,774.9999999999999,depot-depot,AUTOCARE,new-template,hub,,ADELAIDE,WOLLONGONG
"ALICE SPRINGS, NT","ADELAIDE, SA",NT,SA,399.99999999999994,499.99999999999994,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,ADELAIDE
"ALICE SPRINGS, NT","BRISBANE, QLD",NT,QLD,1143.2,1429.0,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,BRISBANE
"ALICE SPRINGS, NT","CAIRNS, QLD",NT,QLD,2255.6818181818176,2819.602272727272,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,CAIRNS
"ALICE SPRINGS, NT","DARWIN, NT",NT,NT,446.42857142857133,558.0357142857142,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,DARWIN
"ALICE SPRINGS, NT","DEVONPORT, TAS",NT,TAS,1310.9999999999998,1638.7499999999998,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,DEVONPORT
"ALICE SPRINGS, NT","HOBART, TAS",NT,TAS,1525.9999999999998,1907.4999999999998,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,HOBART
"ALICE SPRINGS, NT","MELBOURNE, VIC",NT,VIC,538.4,673.0,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,MELBOURNE
"ALICE SPRINGS, NT","MT ISA, QLD",NT,QLD,2029.220779220779,2536.5259740259735,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,MT ISA
"ALICE SPRINGS, NT","PERTH, WA",NT,WA,1237.9999999999998,1547.4999999999998,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,PERTH
"ALICE SPRINGS, NT","SYDNEY, NSW",NT,NSW,863.9999999999999,1079.9999999999998,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,SYDNEY
"ALICE SPRINGS, NT","TOWNSVILLE, QLD",NT,QLD,1542.2077922077917,1927.7597402597396,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,TOWNSVILLE
"ALICE SPRINGS, NT","WOLLONGONG, NSW",NT,NSW,816.0,1020.0,depot-depot,AUTOCARE,new-template,hub,,ALICE SPRINGS,WOLLONGONG
"BRISBANE, QLD","ADELAIDE, SA",QLD,SA,720.8,901.0,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,ADELAIDE
"BRISBANE, QLD","ALICE SPRINGS, NT",QLD,NT,1850.9999999999998,2313.7499999999995,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,ALICE SPRINGS
"BRISBANE, QLD","CAIRNS, QLD",QLD,QLD,1039.0,1298.75,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,CAIRNS
"BRISBANE, QLD","DARWIN, NT",QLD,NT,1489.9999999999995,1862.4999999999995,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,DARWIN
"BRISBANE, QLD","DEVONPORT, TAS",QLD,TAS,1062.3999999999999,1327.9999999999998,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,DEVONPORT
"BRISBANE, QLD","HOBART, TAS",QLD,TAS,1543.0,1928.75,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,HOBART
"BRISBANE, QLD","MELBOURNE, VIC",QLD,VIC,552.0,690.0,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,MELBOURNE
"BRISBANE, QLD","MT ISA, QLD",QLD,QLD,1503.9999999999998,1879.9999999999998,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,MT ISA
"BRISBANE, QLD","PERTH, WA",QLD,WA,1390.3999999999996,1737.9999999999995,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,PERTH
"BRISBANE, QLD","SYDNEY, NSW",QLD,NSW,425.9999999999999,532.4999999999999,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,SYDNEY
"BRISBANE, QLD","TOWNSVILLE, QLD",QLD,QLD,685.0,856.25,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,TOWNSVILLE
"BRISBANE, QLD","WOLLONGONG, NSW",QLD,NSW,366.0,457.5,depot-depot,AUTOCARE,new-template,hub,,BRISBANE,WOLLONGONG
"CAIRNS, QLD","ADELAIDE, SA",QLD,SA,1412.0,1765.0,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,ADELAIDE
"CAIRNS, QLD","ALICE SPRINGS, NT",QLD,NT,1889.6000000000001,2362.0,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,ALICE SPRINGS
"CAIRNS, QLD","BRISBANE, QLD",QLD,QLD,508.0000000000001,635.0000000000001,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,BRISBANE
"CAIRNS, QLD","DARWIN, NT",QLD,NT,1354.9999999999998,1693.7499999999998,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,DARWIN
"CAIRNS, QLD","DEVONPORT, TAS",QLD,TAS,1570.3999999999999,1962.9999999999998,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,DEVONPORT
"CAIRNS, QLD","HOBART, TAS",QLD,TAS,1742.3999999999999,2178.0,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,HOBART
"CAIRNS, QLD","MELBOURNE, VIC",QLD,VIC,1063.9999999999998,1329.9999999999998,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,MELBOURNE
"CAIRNS, QLD","MT ISA, QLD",QLD,QLD,1068.9999999999998,1336.2499999999998,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,MT ISA
"CAIRNS, QLD","PERTH, WA",QLD,WA,2251.9999999999995,2814.9999999999995,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,PERTH
"CAIRNS, QLD","SYDNEY, NSW",QLD,NSW,854.4000000000001,1068.0,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,SYDNEY
"CAIRNS, QLD","TOWNSVILLE, QLD",QLD,QLD,249.99999999999997,312.49999999999994,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,TOWNSVILLE
"CAIRNS, QLD","WOLLONGONG, NSW",QLD,NSW,806.4,1008.0,depot-depot,AUTOCARE,new-template,hub,,CAIRNS,WOLLONGONG
"DARWIN, NT","ADELAIDE, SA",NT,SA,700.8,876.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,ADELAIDE
"DARWIN, NT","ALICE SPRINGS, NT",NT,NT,700.8,876.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,ALICE SPRINGS
"DARWIN, NT","BRISBANE, QLD",NT,QLD,1178.9870129870128,1473.733766233766,depot-depot,AUTOCARE,new-template,hub,,DARWIN,BRISBANE
"DARWIN, NT","CAIRNS, QLD",NT,QLD,1310.9999999999998,1638.7499999999998,depot-depot,AUTOCARE,new-template,hub,,DARWIN,CAIRNS
"DARWIN, NT","DEVONPORT, TAS",NT,TAS,1429.6,1787.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,DEVONPORT
"DARWIN, NT","HOBART, TAS",NT,TAS,1601.5999999999997,2001.9999999999995,depot-depot,AUTOCARE,new-template,hub,,DARWIN,HOBART
"DARWIN, NT","MELBOURNE, VIC",NT,VIC,919.2,1149.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,MELBOURNE
"DARWIN, NT","MT ISA, QLD",NT,QLD,974.0259740259738,1217.5324675324673,depot-depot,AUTOCARE,new-template,hub,,DARWIN,MT ISA
"DARWIN, NT","PERTH, WA",NT,WA,1236.8,1546.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,PERTH
"DARWIN, NT","SYDNEY, NSW",NT,NSW,1240.8,1551.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,SYDNEY
"DARWIN, NT","TOWNSVILLE, QLD",NT,QLD,956.9999999999999,1196.2499999999998,depot-depot,AUTOCARE,new-template,hub,,DARWIN,TOWNSVILLE
"DARWIN, NT","WOLLONGONG, NSW",NT,NSW,1192.8,1491.0,depot-depot,AUTOCARE,new-template,hub,,DARWIN,WOLLONGONG
"DEVONPORT, TAS","ADELAIDE, SA",TAS,SA,1089.0,1361.25,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,ADELAIDE
"DEVONPORT, TAS","ALICE SPRINGS, NT",TAS,NT,2038.9999999999998,2548.7499999999995,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,ALICE SPRINGS
"DEVONPORT, TAS","BRISBANE, QLD",TAS,QLD,1212.8,1516.0,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,BRISBANE
"DEVONPORT, TAS","CAIRNS, QLD",TAS,QLD,2459.9999999999995,3074.9999999999995,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,CAIRNS
"DEVONPORT, TAS","DARWIN, NT",TAS,NT,1922.4,2403.0,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,DARWIN
"DEVONPORT, TAS","HOBART, TAS",TAS,TAS,215.00000000000003,268.75000000000006,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,HOBART
"DEVONPORT, TAS","MELBOURNE, VIC",TAS,VIC,525.6,657.0,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,MELBOURNE
"DEVONPORT, TAS","MT ISA, QLD",TAS,QLD,2924.9999999999995,3656.2499999999995,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,MT ISA
"DEVONPORT, TAS","PERTH, WA",TAS,WA,1740.0,2175.0,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,PERTH
"DEVONPORT, TAS","SYDNEY, NSW",TAS,NSW,893.0,1116.25,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,SYDNEY
"DEVONPORT, TAS","TOWNSVILLE, QLD",TAS,QLD,2105.9999999999995,2632.4999999999995,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,TOWNSVILLE
"DEVONPORT, TAS","WOLLONGONG, NSW",TAS,NSW,833.0,1041.25,depot-depot,AUTOCARE,new-template,hub,,DEVONPORT,WOLLONGONG
"HOBART, TAS","ADELAIDE, SA",TAS,SA,1220.0,1525.0,depot-depot,AUTOCARE,new-template,hub,,HOBART,ADELAIDE
"HOBART, TAS","ALICE SPRINGS, NT",TAS,NT,2272.727272727272,2840.90909090909,depot-depot,AUTOCARE,new-template,hub,,HOBART,ALICE SPRINGS
"HOBART, TAS","BRISBANE, QLD",TAS,QLD,1317.6,1647.0,depot-depot,AUTOCARE,new-template,hub,,HOBART,BRISBANE
"HOBART, TAS","CAIRNS, QLD",TAS,QLD,2591.0,3238.75,depot-depot,AUTOCARE,new-template,hub,,HOBART,CAIRNS
"HOBART, TAS","DARWIN, NT",TAS,NT,2027.2000000000003,2534.0000000000005,depot-depot,AUTOCARE,new-template,hub,,HOBART,DARWIN
"HOBART, TAS","DEVONPORT, TAS",TAS,TAS,131.0,163.75,depot-depot,AUTOCARE,new-template,hub,,HOBART,DEVONPORT
"HOBART, TAS","MELBOURNE, VIC",TAS,VIC,630.4,788.0,depot-depot,AUTOCARE,new-template,hub,,HOBART,MELBOURNE
"HOBART, TAS","MT ISA, QLD",TAS,QLD,3055.9999999999995,3819.9999999999995,depot-depot,AUTOCARE,new-template,hub,,HOBART,MT ISA
"HOBART, TAS","PERTH, WA",TAS,WA,1844.8000000000002,2306.0,depot-depot,AUTOCARE,new-template,hub,,HOBART,PERTH
"HOBART, TAS","SYDNEY, NSW",TAS,NSW,1024.0,1280.0,depot-depot,AUTOCARE,new-template,hub,,HOBART,SYDNEY
"HOBART, TAS","TOWNSVILLE, QLD",TAS,QLD,2237.0,2796.25,depot-depot,AUTOCARE,new-template,hub,,HOBART,TOWNSVILLE
"HOBART, TAS","WOLLONGONG, NSW",TAS,NSW,964.0,1205.0,depot-depot,AUTOCARE,new-template,hub,,HOBART,WOLLONGONG
"MELBOURNE, VIC","ADELAIDE, SA",VIC,SA,540.0,675.0,depot-depot,AUTOCARE,new-template,hub,,MELBOURNE,ADELAIDE
"MELBOURNE, VIC","ALICE SPRINGS, NT",VIC,NT,1490.0,1862.5,depot-depot,AUTOCARE,new-template,hub,,MELBOURNE,ALICE SPRINGS
"MELBOURNE, VIC","BRISBANE, QLD",VIC,QLD,736.0000000000001,920.0000000000001,depot-depot,AUTOCARE,new-template,hub,,MELBOURNE,BRISBANE
"MELBOURNE, VIC","CAIRNS, QLD",VIC,QLD,1957.0,2446.25,depot-depot,AUTOCARE,new-template,hub,,MELBOURNE,CAIRNS
"MELBOURNE, VIC","DARWIN, NT",VIC,NT,1600.8,2401.2,depot-depot,AUTOCARE,new-template,hub,,MELBOURNE,DARWIN
"MELBOURNE, VIC","DEVONPORT, TAS",VIC,TAS,637.9999999999999,797.4999999999999,depot-depot,AUTOCARE,new-template,hub,,MELBOURNE,DEVONPORT
"MELBOURNE, VIC","HOBART, TAS",VIC,TAS,853.0,1066.25,depot-depot,AUTOCARE,new-template,hub,,MELBOURNE,HOBART
"MELBOURNE, VIC","MT ISA, QLD",VIC,QLD,2421.9999999999995,3027.4999999999995,depot-depot,AUTOCARE,new-template,hub,,MELBOURNE,MT ISA
"MELBOURNE, VIC","PERTH, WA",VIC,WA,1214.3999999999999,1517.9999999999998,depot-depot,AUTOCARE,new-template,hub,,MELBOURNE,PERTH
"MELBOURNE, VIC","SYDNEY, NSW",VIC,NSW,493.99999999999994,617.4999999999999,depot-depot,AUTOCARE,new-template,hub,,MELBOURNE,SYDNEY
"MELBOURNE, VIC","TOWNSVILLE, QLD",VIC,QLD,1602.9999999999998,2003.7499999999998,depot-depot,AUTOCARE,new-template,hub,,MELBOURNE,TOWNSVILLE
"MELBOURNE, VIC","WOLLONGONG, NSW",VIC,NSW,433.9999999999999,542.4999999999999,depot-depot,AUTOCARE,new-template,hub,,MELBOURNE,WOLLONGONG
"MT ISA, QLD","ADELAIDE, SA",QLD,SA,1612.0,2015.0,depot-depot,AUTOCARE,new-template,hub,,MT ISA,ADELAIDE
"MT ISA, QLD","ALICE SPRINGS, NT",QLD,NT,2562.0,3202.5,depot-depot,AUTOCARE,new-template,hub,,MT ISA,ALICE SPRINGS
"MT ISA, QLD","BRISBANE, QLD",QLD,QLD,668.0,835.0,depot-depot,AUTOCARE,new-template,hub,,MT ISA,BRISBANE
"MT ISA, QLD","CAIRNS, QLD",QLD,QLD,803.9999999999999,1004.9999999999999,depot-depot,AUTOCARE,new-template,hub,,MT ISA,CAIRNS
"MT ISA, QLD","DARWIN, NT",QLD,NT,1243.9999999999998,1554.9999999999998,depot-depot,AUTOCARE,new-template,hub,,MT ISA,DARWIN
"MT ISA, QLD","DEVONPORT, TAS",QLD,TAS,1730.3999999999999,2163.0,depot-depot,AUTOCARE,new-template,hub,,MT ISA,DEVONPORT
"MT ISA, QLD","HOBART, TAS",QLD,TAS,2378.0,2972.5,depot-depot,AUTOCARE,new-template,hub,,MT ISA,HOBART
"MT ISA, QLD","MELBOURNE, VIC",QLD,VIC,1223.9999999999998,1529.9999999999998,depot-depot,AUTOCARE,new-template,hub,,MT ISA,MELBOURNE
"MT ISA, QLD","PERTH, WA",QLD,WA,2451.9999999999995,3064.9999999999995,depot-depot,AUTOCARE,new-template,hub,,MT ISA,PERTH
"MT ISA, QLD","SYDNEY, NSW",QLD,NSW,1014.4000000000001,1268.0,depot-depot,AUTOCARE,new-template,hub,,MT ISA,SYDNEY
"MT ISA, QLD","TOWNSVILLE, QLD",QLD,QLD,450.0,562.5,depot-depot,AUTOCARE,new-template,hub,,MT ISA,TOWNSVILLE
"MT ISA, QLD","WOLLONGONG, NSW",QLD,NSW,966.3999999999999,1207.9999999999998,depot-depot,AUTOCARE,new-template,hub,,MT ISA,WOLLONGONG
"PERTH, WA","ADELAIDE, SA",WA,SA,268.99999999999994,336.24999999999994,depot-depot,AUTOCARE,new-template,hub,,PERTH,ADELAIDE
"PERTH, WA","ALICE SPRINGS, NT",WA,NT,1218.9999999999998,1523.7499999999998,depot-depot,AUTOCARE,new-template,hub,,PERTH,ALICE SPRINGS
"PERTH, WA","BRISBANE, QLD",WA,QLD,1297.9999999999998,1622.4999999999998,depot-depot,AUTOCARE,new-template,hub,,PERTH,BRISBANE
"PERTH, WA","CAIRNS, QLD",WA,QLD,2125.0,2656.25,depot-depot,AUTOCARE,new-template,hub,,PERTH,CAIRNS
"PERTH, WA","DARWIN, NT",WA,NT,1593.9999999999998,1992.4999999999998,depot-depot,AUTOCARE,new-template,hub,,PERTH,DARWIN
"PERTH, WA","DEVONPORT, TAS",WA,TAS,1179.9999999999998,1474.9999999999998,depot-depot,AUTOCARE,new-template,hub,,PERTH,DEVONPORT
"PERTH, WA","HOBART, TAS",WA,TAS,1395.0,1743.75,depot-depot,AUTOCARE,new-template,hub,,PERTH,HOBART
"PERTH, WA","MELBOURNE, VIC",WA,VIC,580.0,725.0,depot-depot,AUTOCARE,new-template,hub,,PERTH,MELBOURNE
"PERTH, WA","MT ISA, QLD",WA,QLD,2590.0,3237.5,depot-depot,AUTOCARE,new-template,hub,,PERTH,MT ISA
"PERTH, WA","SYDNEY, NSW",WA,NSW,929.9999999999999,1162.4999999999998,depot-depot,AUTOCARE,new-template,hub,,PERTH,SYDNEY
"PERTH, WA","TOWNSVILLE, QLD",WA,QLD,1771.0,2213.75,depot-depot,AUTOCARE,new-template,hub,,PERTH,TOWNSVILLE
"PERTH, WA","WOLLONGONG, NSW",WA,NSW,870.0,1087.5,depot-depot,AUTOCARE,new-template,hub,,PERTH,WOLLONGONG
"SYDNEY, NSW","ADELAIDE, SA",NSW,SA,597.5999999999999,746.9999999999999,depot-depot,AUTOCARE,new-template,hub,,SYDNEY,ADELAIDE
"SYDNEY, NSW","ALICE SPRINGS, NT",NSW,NT,1357.6000000000001,1697.0000000000002,depot-depot,AUTOCARE,new-template,hub,,SYDNEY,ALICE SPRINGS
"SYDNEY, NSW","BRISBANE, QLD",NSW,QLD,420.79999999999995,526.0,depot-depot,AUTOCARE,new-template,hub,,SYDNEY,BRISBANE
"SYDNEY, NSW","CAIRNS, QLD",NSW,QLD,1477.9999999999998,1847.4999999999998,depot-depot,AUTOCARE,new-template,hub,,SYDNEY,CAIRNS
"SYDNEY, NSW","DARWIN, NT",NSW,NT,1907.9999999999998,2384.9999999999995,depot-depot,AUTOCARE,new-template,hub,,SYDNEY,DARWIN
"SYDNEY, NSW","DEVONPORT, TAS",NSW,TAS,1003.9999999999999,1254.9999999999998,depot-depot,AUTOCARE,new-template,hub,,SYDNEY,DEVONPORT
"SYDNEY, NSW","HOBART, TAS",NSW,TAS,1218.9999999999998,1523.7499999999998,depot-depot,AUTOCARE,new-template,hub,,SYDNEY,HOBART
"SYDNEY, NSW","MELBOURNE, VIC",NSW,VIC,375.99999999999994,469.99999999999994,depot-depot,AUTOCARE,new-template,hub,,SYDNEY,MELBOURNE
"SYDNEY, NSW","MT ISA, QLD",NSW,QLD,1942.9999999999998,2428.7499999999995,depot-depot,AUTOCARE,new-template,hub,,SYDNEY,MT ISA
"SYDNEY, NSW","PERTH, WA",NSW,WA,1300.0,1625.0,depot-depot,AUTOCARE,new-template,hub,,SYDNEY,PERTH
"SYDNEY, NSW","TOWNSVILLE, QLD",NSW,QLD,1124.0,1405.0,depot-depot,AUTOCARE,new-template,hub,,SYDNEY,TOWNSVILLE
"SYDNEY, NSW","WOLLONGONG, NSW",NSW,NSW,210.0,262.5,depot-depot,AUTOCARE,new-template,hub,,SYDNEY,WOLLONGONG
"TOWNSVILLE, QLD","ADELAIDE, SA",QLD,SA,1105.8,1382.25,depot-depot,AUTOCARE,new-template,hub,,TOWNSVILLE,ADELAIDE
"TOWNSVILLE, QLD","ALICE SPRINGS, NT",QLD,NT,2236.0,2795.0,depot-depot,AUTOCARE,new-template,hub,,TOWNSVILLE,ALICE SPRINGS
"TOWNSVILLE, QLD","BRISBANE, QLD",QLD,QLD,384.99999999999994,481.24999999999994,depot-depot,AUTOCARE,new-template,hub,,TOWNSVILLE,BRISBANE
"TOWNSVILLE, QLD","CAIRNS, QLD",QLD,QLD,354.0,442.5,depot-depot,AUTOCARE,new-template,hub,,TOWNSVILLE,CAIRNS
"TOWNSVILLE, QLD","DARWIN, NT",QLD,NT,1104.9999999999998,1381.2499999999998,depot-depot,AUTOCARE,new-template,hub,,TOWNSVILLE,DARWIN
"TOWNSVILLE, QLD","DEVONPORT, TAS",QLD,TAS,1447.3999999999999,1809.2499999999998,depot-depot,AUTOCARE,new-template,hub,,TOWNSVILLE,DEVONPORT
"TOWNSVILLE, QLD","HOBART, TAS",QLD,TAS,1928.0,2410.0,depot-depot,AUTOCARE,new-template,hub,,TOWNSVILLE,HOBART
"TOWNSVILLE, QLD","MELBOURNE, VIC",QLD,VIC,936.9999999999998,1171.2499999999998,depot-depot,AUTOCARE,new-template,hub,,TOWNSVILLE,MELBOURNE
"TOWNSVILLE, QLD","MT ISA, QLD",QLD,QLD,818.9999999999999,1023.7499999999999,depot-depot,AUTOCARE,new-template,hub,,TOWNSVILLE,MT ISA
"TOWNSVILLE, QLD","PERTH, WA",QLD,WA,1775.3999999999999,2219.25,depot-depot,AUTOCARE,new-template,hub,,TOWNSVILLE,PERTH
"TOWNSVILLE, QLD","SYDNEY, NSW",QLD,NSW,810.9999999999999,1013.7499999999999,depot-depot,AUTOCARE,new-template,hub,,TOWNSVILLE,SYDNEY
"TOWNSVILLE, QLD","WOLLONGONG, NSW",QLD,NSW,750.9999999999999,938.7499999999999,depot-depot,AUTOCARE,new-template,hub,,TOWNSVILLE,WOLLONGONG
"WOLLONGONG, NSW","ADELAIDE, SA",NSW,SA,549.6,687.0,depot-depot,AUTOCARE,new-template,hub,,WOLLONGONG,ADELAIDE
"WOLLONGONG, NSW","ALICE SPRINGS, NT",NSW,NT,1309.6000000000001,1637.0000000000002,depot-depot,AUTOCARE,new-template,hub,,WOLLONGONG,ALICE SPRINGS
"WOLLONGONG, NSW","BRISBANE, QLD",NSW,QLD,372.7999999999999,465.9999999999999,depot-depot,AUTOCARE,new-template,hub,,WOLLONGONG,BRISBANE
"WOLLONGONG, NSW","CAIRNS, QLD",NSW,QLD,1418.0,1772.5,depot-depot,AUTOCARE,new-template,hub,,WOLLONGONG,CAIRNS
"WOLLONGONG, NSW","DARWIN, NT",NSW,NT,1848.0,2310.0,depot-depot,AUTOCARE,new-template,hub,,WOLLONGONG,DARWIN
"WOLLONGONG, NSW","DEVONPORT, TAS",NSW,TAS,943.9999999999999,1179.9999999999998,depot-depot,AUTOCARE,new-template,hub,,WOLLONGONG,DEVONPORT
"WOLLONGONG, NSW","HOBART, TAS",NSW,TAS,1158.9999999999998,1448.7499999999998,depot-depot,AUTOCARE,new-template,hub,,WOLLONGONG,HOBART
